"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4129274";"";"None";"851.48";"3";"4.76";"27";"C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4118852";"Binding affinity to HADHA in human NCI-H358 cells at 1 uM by mass spectrometry based pull down assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4118021";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"Active";""
"CHEMBL5653589";"";"None";"503.49";"2";"5.75";"Chemical probe : NVPiso";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12";"ED50";"'='";"59.46";"nM";"7.23";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5651524";"Binding affinity to human HADHA incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"59.461"
"CHEMBL3752910";"";"None";"503.49";"2";"5.75";"Chemical probe : NVP-BHG712;NVP";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C";"Kd";"'='";"877.11";"nM";"6.06";"";"";"UO_0000065";"12.03";"0.22";"0.31";"6.20";"0";"CHEMBL5651524";"Binding affinity to human HADHA incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"877.111"
"CHEMBL4129274";"";"None";"851.48";"3";"4.76";"27";"C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4118666";"Binding affinity to HADHA in human NCI-H23 cells at 1 uM by mass spectrometry based pull down assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H23";"None";"";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4118021";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"Active";""
"CHEMBL5094288";"";"None";"549.64";"1";"3.72";"HJ-1";"C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5036295";"Binding affinity to HADHA in human NCI-H1975 cells at 5 uM by pull down/LC-MS/MS analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1975";"None";"";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5034051";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Dose = 5.0 microM";"INHIBITOR";"Active";""
"CHEMBL3752910";"";"None";"503.49";"2";"5.75";"Chemical probe : NVP-BHG712;NVP";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C";"ED50";"'='";"877.11";"nM";"6.06";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5651524";"Binding affinity to human HADHA incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"877.111"
"CHEMBL5653589";"";"None";"503.49";"2";"5.75";"Chemical probe : NVPiso";"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12";"Kd";"'='";"59.46";"nM";"7.23";"";"";"UO_0000065";"14.35";"0.27";"1.48";"7.40";"0";"CHEMBL5651524";"Binding affinity to human HADHA incubated for 45 mins by Kinobead based pull down assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"EFO_ID: MONDO:0004992 | EFO_TERM: cancer";"";"";"CHEMBL4295759";"Trifunctional enzyme subunit alpha, mitochondrial";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5649169";"72";"Chemical Probe data from Scientific Literature";"ChemMedChem";"2018";"None";"TIME = 0.75 hr";"BINDING AGENT";"";"59.461"
